Comment,Designator,Footprint,LCSC Part #,Manufacturer Part,Description
1k,"R20,R21",0402,C11702,0402WGF1001TCE,Thick-film 1k 1% 0402 — D2 limit
100nF,"C3,C4,C5,C6,C7,C8",0402,C1525,CL05B104KO5NNNC,MLCC 100nF 0402 — U1 decouple
TLV1117LV33DCYR,U5,SOT-223,C155591,,"3.3V LDO, 1A, SOT-223"
1uF/10V,C21,0402,C15849,CL05A105KP5NNNC,MLCC 1uF 10V 0402 — LDO in
10uF/10V,"C2,C20",0805,C15850,CL21A106KOQNNNE,MLCC 10uF 10V X5R 0805 — +3V3 bulk
TYPE-C-31-M-12,J3,USB_C_SMD_16P,C165948,,"USB Type-C receptacle, SMD, 16-pin"
47uF/10V,C1,1206,C19702,CL31A476KAHNNNE,MLCC 47uF 10V X5R 1206 — +5V bulk
red 0603 LED,D3,LED_0603,C2287,KT-0603R,Red 0603 LED — firmware activity
10k,"R30,R40,R41",0402,C25744,0402WGF1002TCE,Thick-film 10k 1% 0402 — ADC pull-down
5.1k,"R10,R11",0402,C25905,0402WGF5101TCE,Thick-film 5.1k 1% 0402 — USB CC1 PD
ESP32-S3-WROOM-1-N8R8,U1,ESP32_S3_WROOM_1,C2913201,,"WiFi/BT module, 8MB flash + 8MB PSRAM, native USB"
TS-1187A,"SW1,SW2",TACT_4P_4.5x4.5,C318884,TS-1187A-B-A-B,"Tactile switch, 4-pin, BOOT"
CD74HC4067SM96,"U2,U3",SOIC-24,C5183,,16:1 analog mux (row select)
green 0603 LED,D2,LED_0603,C72043,ORH-G36G,Green 0603 LED — +3V3 rail status
FH12-16S-1SH,"J1,J2",FFC_16P_1MM,C72669,FH12-16S-1SH(55),"Hirose FFC ZIF, 16-pin, 1.0mm pitch — ROW"
500mA PTC,F1,1812,C75132,MF-MSMF050X-2,"Resettable PTC fuse, 500mA hold, 1812"
USBLC6-2SC6Y,D1,SOT-23-6,C7519,,USB-C ESD protection
