Designator,Mid X,Mid Y,Layer,Rotation
C1,15.5000mm,7.5000mm,Top,0
C2,22.0000mm,33.5000mm,Top,0
C3,22.0000mm,13.5000mm,Top,0
C4,38.0000mm,13.5000mm,Top,0
C5,26.5000mm,33.5000mm,Top,0
C6,33.5000mm,33.5000mm,Top,0
C7,9.5000mm,30.0000mm,Top,0
C8,50.5000mm,30.0000mm,Top,0
C9,30.0000mm,11.5000mm,Top,0
C20,6.5000mm,7.5000mm,Top,0
C21,15.5000mm,11.0000mm,Top,0
C30,37.0000mm,15.5000mm,Top,0
D1,44.5000mm,7.0000mm,Top,0
D2,40.0000mm,33.0000mm,Top,0
D3,44.0000mm,33.0000mm,Top,0
F1,21.0000mm,7.0000mm,Top,0
J1,15.0000mm,36.5000mm,Top,0
J2,45.0000mm,36.5000mm,Top,0
J3,30.0000mm,3.6000mm,Top,0
R10,27.0000mm,8.0000mm,Top,0
R11,33.0000mm,8.0000mm,Top,0
R20,40.0000mm,30.5000mm,Top,0
R21,44.0000mm,30.5000mm,Top,0
R30,54.0000mm,22.0000mm,Top,90
R31,35.0000mm,15.5000mm,Top,0
R40,53.0000mm,35.0000mm,Top,0
R41,53.0000mm,25.0000mm,Top,0
SJ1,40.5000mm,15.5000mm,Top,0
SW1,53.0000mm,33.0000mm,Top,0
SW2,53.0000mm,27.0000mm,Top,0
U1,30.0000mm,22.0000mm,Top,0
U2,9.5000mm,22.0000mm,Top,90
U3,50.5000mm,22.0000mm,Top,90
U4,30.0000mm,8.5000mm,Top,0
U5,10.5000mm,7.5000mm,Top,0
